Timestamp, Acceleration x, Acceleration y, Acceleration z
7190,-0.0859375,-0.969238,0.479492,
7210,-0.0742188,-0.937988,0.500488,
7230,-0.0712891,-0.945313,0.486816,
7250,-0.0571289,-0.946289,0.442871,
7270,-0.0595703,-0.935547,0.48877,
7290,-0.0625,-0.943359,0.533203,
7310,-0.0419922,-0.918457,0.520508,
7330,-0.0517578,-0.902344,0.495605,
7350,-0.0390625,-0.90625,0.501953,
7370,-0.0292969,-0.879395,0.540039,
7390,-0.00488281,-0.858398,0.529785,
7410,-0.0185547,-0.847656,0.523926,
7430,-0.0371094,-0.806152,0.507813,
7450,-0.0332031,-0.80127,0.501953,
7470,-0.0126953,-0.773438,0.525391,
7490,0.0151367,-0.773926,0.537109,
7510,0.0332031,-0.779785,0.54248,
7530,0.0175781,-0.790039,0.505371,
7550,0.0136719,-0.748535,0.467773,
7570,0.0595703,-0.737793,0.51123,
7590,0.0742188,-0.758789,0.547852,
7610,0.0810547,-0.708008,0.491211,
7630,0.105957,-0.702148,0.46875,
7650,0.110352,-0.722168,0.496094,
7670,0.138184,-0.742188,0.436523,
7690,0.165527,-0.720703,0.40625,
7710,0.183594,-0.703125,0.419434,
7730,0.190918,-0.727051,0.419434,
7750,0.221191,-0.729492,0.381348,
7770,0.214844,-0.725586,0.354492,
7790,0.233887,-0.708008,0.385742,
7810,0.26416,-0.723633,0.416016,
7830,0.287109,-0.758789,0.38623,
7850,0.288574,-0.731445,0.385254,
7870,0.279297,-0.725586,0.380371,
7890,0.289551,-0.756836,0.402832,
7910,0.279785,-0.766113,0.263672,
7930,0.233887,-0.757813,0.253906,
7950,0.228027,-0.752441,0.267578,
7960,0.230469,-0.793945,0.330078,
7980,0.235352,-0.823242,0.302734,
8000,0.205078,-0.82666,0.324219,
8020,0.214355,-0.870605,0.393555,
8040,0.21875,-0.993652,0.40918,
8060,0.197754,-0.92334,0.359863,
8080,0.125977,-0.888184,0.305664,
8100,0.107422,-0.908203,0.358887,
8120,0.0917969,-0.932617,0.366699,
8140,0.0498047,-0.879883,0.344238,
8160,0.0390625,-0.904785,0.410645,
8180,0.0141602,-0.974609,0.411621,
8200,-0.0292969,-0.943848,0.382813,
8220,-0.0688477,-0.912598,0.407715,
8240,-0.0292969,-0.944824,0.458008,
8260,-0.0239258,-0.998535,0.463379,
8280,-0.0620117,-0.951172,0.407227,
8300,-0.050293,-0.923828,0.395508,
8320,-0.0610352,-0.922363,0.452148,
8340,-0.0209961,-0.950195,0.523438,
8360,-0.0385742,-0.987793,0.499023,
8380,-0.0952148,-0.92334,0.42041,
8400,-0.109863,-0.876953,0.447754,
8420,-0.107422,-0.927246,0.485352,
8440,-0.119141,-0.938477,0.496582,
8460,-0.119141,-0.910156,0.519531,
8480,-0.124023,-0.919434,0.488281,
8500,-0.120605,-0.921875,0.533203,
8520,-0.0922852,-0.939941,0.577637,
8540,-0.0917969,-0.90332,0.555176,
8560,-0.0463867,-0.940918,0.539063,
8580,-0.0405273,-0.978027,0.540039,
8600,-0.0561523,-0.88623,0.561523,
8620,0.0117188,-0.882324,0.612305,
8640,0.00341797,-0.912598,0.599121,
8660,-0.0322266,-0.878906,0.499512,
8680,-0.012207,-0.847168,0.473145,
8700,0.0258789,-0.828613,0.524414,
8720,0.0419922,-0.830078,0.563477,
8740,0.0493164,-0.798828,0.547852,
8760,0.0395508,-0.760742,0.491211,
8780,0.0727539,-0.745605,0.497559,
8800,0.101074,-0.73877,0.503418,
8820,0.0942383,-0.710449,0.477051,
8840,0.0722656,-0.675781,0.462402,
8860,0.11377,-0.674805,0.48877,
8880,0.103516,-0.675781,0.473633,
8900,0.0874023,-0.674805,0.428711,
8920,0.0869141,-0.65332,0.390137,
8940,0.0932617,-0.661133,0.356445,
8960,0.0878906,-0.658203,0.342285,
8980,0.0991211,-0.626465,0.353516,
9000,0.135254,-0.608398,0.40625,
9020,0.180664,-0.691895,0.431152,
9040,0.212891,-0.726074,0.430664,
9060,0.223633,-0.708984,0.399414,
9080,0.226563,-0.741699,0.38623,
9100,0.262695,-0.835938,0.339844,
9120,0.240723,-0.828125,0.317871,
9140,0.251465,-0.759277,0.349121,
9160,0.217285,-0.868164,0.358887,
9180,0.224121,-0.892578,0.374512,
9200,0.208984,-0.882324,0.375488,
9220,0.181152,-0.871094,0.343262,
9240,0.190918,-0.893066,0.319824,
9260,0.183594,-0.952637,0.308105,
9280,0.160645,-0.913574,0.334473,
9300,0.148438,-0.897461,0.353027,
9320,0.0991211,-0.93457,0.341797,
9340,0.0893555,-0.921387,0.32959,
9360,0.0620117,-0.915527,0.371582,
9380,0.0507813,-0.95459,0.365723,
9400,0.0175781,-0.971191,0.368164,
9420,-0.00585938,-0.984863,0.360352,
9440,0.00244141,-0.976074,0.40332,
9460,-0.0185547,-0.98877,0.416504,
9480,-0.046875,-0.98584,0.411621,
9500,-0.0546875,-0.996582,0.410156,
9520,-0.0537109,-1.01563,0.39502,
9540,-0.0712891,-0.951172,0.374023,
9560,-0.0771484,-0.913086,0.371582,
9580,-0.0732422,-0.967773,0.409668,
9600,-0.0654297,-0.987793,0.473145,
9620,-0.110352,-0.961426,0.418945,
9640,-0.125977,-0.949219,0.402344,
9660,-0.148926,-0.939453,0.436523,
9680,-0.128906,-0.931152,0.439453,
9700,-0.131348,-0.955078,0.45459,
9720,-0.125,-0.94873,0.487305,
9740,-0.0996094,-0.994141,0.470703,
