Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
2010,-4,-1,-15,-25,-6,0,2,-2,
2015,0,2,12,23,-2,-4,1,-4,
2020,-1,-8,-2,-3,2,0,-2,1,
2025,-1,-2,1,-11,-3,-2,-2,-1,
2030,0,-3,-30,-7,-2,-2,-3,-2,
2035,-3,4,42,-8,-2,0,-1,-1,
2040,-1,-1,2,17,-2,-3,2,0,
2045,2,0,-22,-1,2,-3,-1,-2,
2050,-6,-6,-26,-9,-5,0,-1,-1,
2055,0,6,79,23,6,2,-1,1,
2060,0,3,1,-2,4,2,-4,0,
2065,-3,-2,6,-12,-4,-1,-2,-2,
2070,1,-2,-9,18,-1,-4,0,0,
2075,-2,-7,-32,-19,-3,-3,-3,0,
2080,-2,0,7,9,0,1,1,-1,
2085,0,-2,-2,-17,-2,0,1,0,
2090,1,-1,16,8,3,0,2,1,
2095,-3,-3,-18,-7,-3,-1,-1,-2,
2100,-2,-3,-4,-8,-4,-3,-3,-1,
2105,1,3,-7,3,4,0,2,-3,
2110,-1,-1,10,1,-1,-1,-2,-2,
2115,3,-1,-18,-1,-4,-1,1,0,
2120,-2,-5,-29,-10,-2,-1,1,0,
2125,-2,0,26,16,2,0,-1,1,
2130,1,-2,-2,-6,-3,-2,-4,-1,
2135,-1,-1,-24,-4,1,-2,0,0,
2140,0,-2,-14,-3,-4,0,1,-1,
2145,-3,0,7,7,2,1,-1,0,
2150,0,-1,0,-7,-5,-1,-2,-2,
2155,-4,-6,-11,-15,-6,-5,-3,0,
2160,0,5,23,7,5,3,0,-3,
2165,0,2,6,8,6,1,2,-1,
2170,-5,0,1,-7,-5,-5,-1,-3,
2175,-2,-4,-5,3,3,-3,-2,-2,
2180,-1,-5,0,-5,-6,-1,-3,-1,
2185,-1,-1,12,-1,-5,-3,-1,-1,
2190,1,0,-18,-8,1,-1,-3,-1,
2195,-1,-1,-11,-1,3,0,2,2,
2200,-2,0,1,5,-3,-2,-3,-3,
2205,-2,0,-12,-13,-4,-4,-1,-2,
2210,-2,2,11,18,5,2,1,-1,
2215,1,-3,-13,-12,-6,-1,-5,0,
2220,0,-1,6,-16,-4,-5,-2,0,
2225,0,-4,-16,10,-1,-1,-2,0,
