Timestamp, Rotation x, Rotation y, Rotation z
6310,34.5,-34.4375,-20.9375,
6330,28.3125,-38.875,-14.5,
6350,30.0625,-41.9375,-8.125,
6370,33.5625,-42.5,-3.1875,
6390,38.125,-44.375,2.4375,
6410,33.625,-44,6.3125,
6430,30.5625,-46.8125,10.5,
6450,25.875,-47,14.5,
6470,23.6875,-45.6875,18.625,
6490,20.3125,-44.5,24.25,
6510,16.5625,-45,30.5,
6530,9.9375,-41.0625,34.1875,
6550,12.3125,-37.5,38.3125,
6570,6.875,-33,43.125,
6590,3.25,-28.8125,46.75,
6610,1.9375,-21.3125,48.9375,
6630,2.3125,-15.8125,52.5,
6650,3.125,-12.5,56.4375,
6670,-1.9375,-6.6875,60.3125,
6690,-5.0625,0,60,
6710,-7.3125,4.375,59.8125,
6730,-9.875,9.8125,63.125,
6750,-10.625,15,63.125,
6770,-14.1875,19.0625,59.9375,
6790,-14.5625,23.75,57.75,
6810,-20.25,27.25,56.8125,
6830,-18.75,33.3125,51.25,
6850,-15.6875,35.6875,47.625,
6870,-15.125,37.125,43.875,
6890,-20.6875,39.1875,37.1875,
6910,-18.8125,41.625,31.0625,
6930,-13.1875,43.125,26.75,
6950,-11.5,45.1875,20.875,
6970,-13.1875,46.1875,14.8125,
6990,-14.1875,46.5625,9.25,
7010,-11.875,46,1.625,
7030,-13.4375,47.75,-5.0625,
7050,-7.8125,46.5,-10.75,
7070,-2.3125,45.625,-15.25,
7090,-1.6875,43.4375,-20.5625,
7110,-5.125,41.1875,-26.625,
7130,-4,39.3125,-30.3125,
7150,-2.3125,36.6875,-33.75,
7170,-1.1875,33.5,-38.25,
7190,0.9375,32.625,-41.9375,
7210,4,31,-45.125,
7230,3.1875,27.3125,-48.8125,
7250,1.9375,23.0625,-49.375,
7270,5.875,20,-52.25,
7290,7.8125,14.75,-52.875,
7310,10.125,12.6875,-52.25,
7330,8.9375,7.75,-51.375,
7350,11,1.9375,-50.125,
7370,11.375,-0.8125,-49.4375,
7390,8.875,-2.375,-48.0625,
7410,11.6875,-6.625,-43.25,
7430,15.1875,-12.75,-39.4375,
7450,12.625,-17.3125,-38.625,
7470,11.875,-21.1875,-36.8125,
7490,14.3125,-24.5625,-35.6875,
7510,17,-27.625,-31.75,
7530,19.3125,-31,-29,
7550,19.875,-35.625,-25.875,
7570,18.8125,-37.875,-26.0625,
7590,23.3125,-40.3125,-22.8125,
7610,27.3125,-41.0625,-20.4375,
7630,20.4375,-43.5625,-16.25,
7650,21.4375,-44.9375,-14.5625,
7670,22.75,-46.5,-10.75,
7690,21,-48.8125,-6,
7710,14.5,-52.0625,-1.75,
7730,14.1875,-52.9375,2.1875,
7750,13.75,-53.5,9.4375,
7770,12.3125,-53.0625,17.6875,
7790,13.3125,-51.5,24.3125,
7810,11.5,-46.625,30.875,
7830,10.25,-39.5625,38.8125,
7850,9.3125,-31.1875,46.625,
7870,5.4375,-23.1875,49.9375,
7890,7,-18.6875,55.5625,
7910,9,-6.625,58.25,
7930,8.6875,-6.5,64.1875,
7950,1.5,-2.5625,64.8125,
7960,-3.1875,-0.125,66.1875,
7980,-5.25,4.375,67.75,
8000,-10.125,10,68.625,
8020,-14.8125,17.75,64.5,
8040,-13.25,24.3125,64.5625,
8060,-4.3125,27.75,66.375,
8080,-6.5,30.8125,62.125,
8100,-6.375,34.3125,54.75,
8120,-3.3125,38.125,48.25,
8140,-8.375,39.3125,41.1875,
8160,-12.4375,41.9375,33.3125,
8180,-6.375,45,25.3125,
8200,-1.5,46.0625,18.3125,
8220,-2.25,43.875,10.3125,
8240,-6.0625,46.625,0.75,
8260,-1.8125,49.375,-4.25,
8280,1.3125,50.1875,-8.5,
8300,-0.125,53.25,-13.0625,
8320,-0.8125,53.875,-17.0625,
8340,-1.5625,54.5,-20.75,
8360,4.5625,55.4375,-23.0625,
8380,8.3125,53.375,-26.3125,
8400,4.75,48.375,-31.6875,
8420,-1.25,42.875,-37.5625,
8440,1.4375,39.75,-40.4375,
8460,2.375,35.75,-43.25,
8480,-4.3125,28.6875,-47.25,
8500,-6.25,21.625,-51.0625,
8520,-4.1875,15.3125,-53.125,
8540,-1.5625,11.4375,-55.0625,
8560,-4.4375,7.0625,-57.9375,
8580,-3.3125,0.4375,-55.9375,
8600,4.875,-4.0625,-58.75,
8620,8.1875,-9.375,-59,
8640,11.4375,-12.9375,-58,
8660,15.375,-17,-56.4375,
8680,14.9375,-25.25,-53.875,
8700,16.1875,-29.75,-52,
8720,22.5,-30.625,-49.9375,
8740,29.0625,-34.25,-42.75,
8760,29.4375,-34.4375,-36.75,
8780,30.375,-37.5625,-31.8125,
8800,30.6875,-39,-26.8125,
8820,31.625,-36.5625,-22.5625,
8840,29.3125,-39.625,-16.8125,
8860,27.3125,-38.6875,-11.6875,
8880,28.9375,-38.3125,-5.375,
8900,28.75,-38.125,2.1875,
8920,25.75,-40.5625,8.9375,
8940,15.8125,-40.375,15.125,
8960,7.9375,-42.25,21.8125,
8980,2.875,-44.1875,28.3125,
9000,0,-41.75,31.125,
9020,-7.1875,-38.125,37.0625,
9040,-2.25,-34.1875,43.625,
9060,-1.3125,-30,49.5625,
9080,-5.3125,-26,54.25,
9100,-7.375,-18.6875,56.625,
9120,-3.875,-18.625,62.25,
9140,-6.125,-16.4375,64.875,
9160,-12.1875,-10.0625,66.0625,
9180,-4.6875,-8.75,66.8125,
9200,-5.3125,-4.5,68.375,
9220,-6.8125,1.625,66.6875,
9240,-13.1875,6.125,64.9375,
9260,-14.1875,12.625,62.625,
9280,-10.6875,14.6875,61.1875,
9300,-12.3125,20.375,55.8125,
9320,-12.5,24.5625,50.6875,
9340,-13.8125,27.125,45.75,
9360,-13.6875,30.25,38.375,
9380,-15.3125,33.6875,32.125,
9400,-13,34.75,26.4375,
9420,-14.1875,37.625,21.0625,
9440,-11.75,41.1875,15.4375,
9460,-11.5625,42.8125,10.0625,
9480,-9.1875,45.75,5.1875,
9500,-7.1875,49.125,1.9375,
9520,-3.75,52.875,-3.25,
9540,3.75,53.5,-6.25,
9560,0.75,53.0625,-11.625,
9580,-3.8125,52.125,-18.75,
9600,0.875,52.8125,-22,
9620,7.0625,52.125,-24.9375,
9640,4.4375,48.625,-30.0625,
9660,0.625,46.1875,-36.25,
9680,0.3125,40.5625,-39.3125,
9700,-2.0625,37,-43.125,
9720,-0.0625,30.875,-47.75,
9740,-0.5,24.125,-51.5625,
9760,1.3125,18.625,-53.875,
9780,-2.5,14.6875,-59.0625,
9800,-2.25,8.6875,-60.5,
9820,5.125,2.1875,-61.3125,
9840,9.3125,-4.8125,-61.875,
9860,9.25,-10.6875,-61.9375,
9870,10.1875,-14.9375,-62.8125,
9890,17.0625,-20.25,-60.125,
9910,22,-25.3125,-56.6875,
9930,25.5,-29.875,-52.25,
9950,33.0625,-33.5625,-51.875,
9970,36.8125,-37.4375,-49.0625,
9990,39.4375,-41.0625,-45,
10010,35.3125,-47.625,-39.75,
10030,35.0625,-47.3125,-33.625,
10050,38.875,-47.4375,-24.4375,
10070,42.5,-46.75,-16.5625,
10090,45.6875,-48.25,-7.9375,
10110,36.8125,-47.5625,-0.875,
10130,27.9375,-49.5,5.4375,
10150,25.3125,-47.75,11.3125,
10170,26.5625,-46.1875,21.25,
10190,23.375,-42.75,28.1875,
10210,13.4375,-37.9375,33.625,
10230,15,-32.9375,40.25,
10250,22.4375,-27.625,49.3125,
10270,24.8125,-17.375,53.75,
10290,23,-9.625,58.25,
10310,24.8125,-2.0625,61.5,
10330,28.25,4.875,61.875,
10350,22.5,8.4375,64.75,
10370,18.1875,9.1875,66.375,
10390,11.875,10.1875,67.8125,
10410,3.75,13.125,66,
10430,-5.4375,17.25,65.375,
10450,-13.125,16.25,65,
10470,-24.9375,18.0625,59.1875,
10490,-27.3125,17,57.5625,
10510,-23,17.625,56.1875,
10530,-27.75,21.125,50.9375,
10550,-33,23.25,45.5625,
10570,-27.1875,24.1875,40.4375,
10590,-21.3125,27.1875,34.5,
10610,-15.75,30.5625,28.625,
10630,-14.1875,33.1875,21.875,
10650,-12.8125,33.375,15.625,
10670,-15.0625,37,9.625,
10690,-11.6875,40.75,5,
10710,-12.1875,42.75,-1.75,
10730,-11.0625,43.6875,-8.1875,
10750,-7.375,43.8125,-14.5625,
10770,-7.375,44.875,-20.4375,
10790,-9.875,44.625,-24,
10810,-10.9375,43.3125,-27.75,
10830,-10,43.25,-29.6875,
10850,-5.9375,43.9375,-32.9375,
10870,-4.6875,42,-36.1875,
10890,-3.125,40.1875,-39.4375,
10910,-0.4375,39.1875,-42.9375,
10930,4.9375,36.0625,-44.125,
10950,5.4375,32.875,-46,
10970,3.625,26.875,-47.1875,
10990,5,23,-50.5625,
11010,5.1875,17.0625,-50.8125,
11030,4.6875,6.6875,-51.875,
11050,3.125,-0.125,-53.25,
11070,6.5625,-5.125,-54.625,
11090,8.1875,-12.875,-54.3125,
11110,13.625,-24,-54.5625,
11130,17.5,-31.6875,-56.8125,
11150,9.3125,-34.6875,-54.6875,
11170,11.8125,-35.3125,-53.4375,
11190,23.25,-41.5,-45.5625,
11210,33.6875,-46.1875,-38.4375,
11230,29.8125,-48.375,-36.5625,
11250,27.625,-48.6875,-35.875,
11270,33.9375,-53.25,-28.625,
11290,37.875,-56.0625,-20.9375,
11310,34.75,-56.25,-16.125,
11330,36.125,-55.9375,-9.8125,
11350,36.6875,-55.75,-3.25,
11370,31.9375,-56.75,4.9375,
11390,28.9375,-56.25,12,
11410,20.0625,-53.3125,18,
11430,20.25,-51.4375,24.375,
11450,20.75,-47.375,32,
11470,19.5,-39,38.75,
11490,20.25,-33.6875,46.4375,
11510,16.3125,-27.6875,54.125,
11530,10.5,-21.875,58.5625,
11550,10.4375,-15.625,62.1875,
11570,15.375,-10.5,67.875,
11590,10.5625,-3.8125,71.3125,
11610,-5.1875,4.75,71.5,
11630,-8.25,8.1875,72,
11650,-6.375,11.5625,73.9375,
11670,-11.125,14.75,73.75,
11690,-20.375,21.75,68.6875,
11710,-22,24.375,66.75,
11730,-23.6875,26.25,61.375,
11750,-24.6875,28.1875,54.75,
11770,-23.25,31.5,49.1875,
11790,-21.125,36.625,42.375,
11810,-15.75,37.4375,38.125,
11830,-15.375,38.3125,32.25,
11850,-17.375,43.8125,23.0625,
11870,-11.0625,47.375,17.125,
11890,-9,48.0625,11.5625,
11910,-12.9375,47.5,3.375,
11930,-21,48,-4.0625,
11950,-24.3125,45.8125,-9.0625,
11970,-21.625,41.8125,-15.6875,
11990,-22.6875,39.875,-21,
12010,-20,43.3125,-27.6875,
12030,-14.375,43.5,-29.625,
12050,-13,43.5,-34.75,
12070,-11.125,44.9375,-40.375,
12090,0.25,44,-43.25,
12110,-2.1875,40.6875,-45.3125,
12130,-2.25,39.6875,-50.4375,
12150,8.3125,36.5625,-51.0625,
12170,8.5,29.75,-53.5625,
12190,6.625,22.625,-57.375,
12210,3.5625,19.1875,-61,
12230,11.8125,11.0625,-59.625,
12250,7.25,2.6875,-60.875,
12270,5,-2.3125,-61.9375,
