Timestamp, Angle x, Angle y, Angle z, Marker
12200,0.842991,0.215064,-0.283794,0
12220,0.839527,0.208318,-0.283442,0
12240,0.833172,0.19994,-0.281857,0
12260,0.826471,0.193899,-0.27625,0
12280,0.821669,0.196702,-0.267645,0
12300,0.819421,0.207623,-0.259303,0
12320,0.821441,0.218797,-0.249568,0
12340,0.839278,0.236578,-0.229269,0
12360,0.850807,0.258929,-0.210404,0
12380,0.873688,0.274995,-0.219924,0
12400,0.915009,0.305422,-0.258353,0
12420,0.955536,0.321024,-0.28466,0
12440,0.978261,0.304664,-0.280354,0
12460,0.972727,0.305966,-0.268575,0
12480,0.933031,0.337256,-0.294096,0
12500,0.882521,0.348804,-0.30833,0
12520,0.859992,0.354639,-0.306767,0
12540,0.854482,0.349449,-0.342211,0
12560,0.84181,0.343237,-0.365388,0
12580,0.826544,0.35043,-0.375026,0
12600,0.843609,0.368593,-0.367042,0
12620,0.878432,0.343575,-0.336681,0
12640,0.915022,0.333126,-0.307857,0
12660,0.939715,0.337524,-0.331391,0
12680,1.01879,0.325303,-0.334861,0
12700,1.12832,0.279492,-0.271013,0
12720,1.24254,0.210164,-0.187177,0
12740,1.36005,0.143664,-0.112734,0
12760,1.50858,0.0629362,-0.0630597,0
12780,1.65932,-0.0088314,-0.0327939,0
12800,1.77515,-0.0298976,-0.0632139,0
12820,1.82598,-0.0586634,-0.0976674,0
12840,1.83906,-0.103807,-0.119598,0
12860,1.80942,-0.132434,-0.113688,0
12880,1.76746,-0.122762,-0.0972219,0
12900,1.73961,-0.0926725,-0.0815716,0
12920,1.70295,-0.0685609,-0.0801203,0
12940,1.67541,-0.0286789,-0.112126,0
12960,1.6515,0.016552,-0.154389,0
12980,1.64066,0.0337485,-0.209826,0
13000,1.62624,0.0549798,-0.252007,0
13020,1.5725,0.135783,-0.295494,0
13040,1.48921,0.238034,-0.386815,0
13060,1.39052,0.306762,-0.479001,0
13080,1.28701,0.35028,-0.579349,0
13100,1.21215,0.367899,-0.630881,0
13120,1.16666,0.393855,-0.682222,0
13140,1.1643,0.40575,-0.70431,0
13160,1.16905,0.431252,-0.708646,0
13180,1.14622,0.450078,-0.720938,0
13200,1.12271,0.46308,-0.746999,0
13220,1.07683,0.450143,-0.795743,0
13240,1.00823,0.420957,-0.856011,0
13260,0.929734,0.366134,-0.922574,0
13280,0.848818,0.282473,-0.99455,0
13300,0.753828,0.158915,-1.06469,0
13320,0.66335,0.00794124,-1.09516,0
13340,0.56198,-0.13278,-1.06844,0
13360,0.436347,-0.176659,-1.016,0
13380,0.36325,-0.207033,-0.970556,0
13400,0.274968,-0.196071,-0.886042,0
13420,0.233072,-0.121677,-0.889305,0
13440,0.259663,-0.00226975,-0.920953,0
13460,0.234079,0.0781934,-0.900198,0
13480,0.35215,0.0652075,-0.872225,0
13500,0.483485,0.0321581,-0.88283,0
13520,0.520372,0.0323568,-0.903943,0
13540,0.575846,0.0233394,-0.931357,0
13560,0.648207,0.0164906,-0.978105,0
13580,0.705481,-0.00882074,-1.02613,0
13600,0.698903,-0.033645,-1.05962,0
13620,0.665784,-0.0718014,-1.08581,0
13640,0.655908,-0.100773,-1.11286,0
13660,0.648854,-0.106576,-1.13107,0
13680,0.632676,-0.100826,-1.14655,0
13700,0.632699,-0.112121,-1.15696,0
13720,0.636793,-0.130231,-1.16939,0
13740,0.642643,-0.153354,-1.1916,0
13760,0.613143,-0.179937,-1.20253,0
13780,0.573501,-0.211991,-1.19516,0
13790,0.524711,-0.20974,-1.23001,0
13810,0.488707,-0.196543,-1.2803,0
13830,0.489044,-0.175661,-1.33496,0
13850,0.479652,-0.186207,-1.3475,0
13870,0.46145,-0.198599,-1.33123,0
13890,0.457838,-0.198414,-1.32325,0
13910,0.450723,-0.1945,-1.31355,0
13930,0.429867,-0.192104,-1.31201,0
13950,0.402353,-0.189874,-1.29914,0
13970,0.370706,-0.194152,-1.29141,0
13990,0.347292,-0.197702,-1.27277,0
14010,0.337028,-0.194361,-1.25901,0
14030,0.316554,-0.167724,-1.25688,0
14050,0.304052,-0.119438,-1.22125,0
14070,0.261473,-0.0630598,-1.16758,0
14090,0.231372,0.00705758,-1.12998,0
