Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
2205,-2,9,-11,1,-2,-7,-8,0,0
2210,-4,7,1,1,-1,3,-1,-3,0
2215,-6,-4,3,1,-1,3,6,-5,0
2220,2,5,-4,-5,-6,4,-5,-6,0
2225,-1,-2,-1,-2,-6,-1,-4,-4,0
2230,-4,-6,-5,-8,1,1,1,-2,0
2235,-2,4,2,5,1,1,-4,-2,0
2240,-5,-5,2,-2,-6,1,-5,1,0
2245,-5,-7,1,-11,-5,1,0,-1,0
2250,0,0,-7,5,-2,2,-5,-3,0
2255,5,-2,-1,14,3,9,-3,4,0
2260,-1,2,2,-3,-5,-5,-8,-4,0
2265,1,3,-1,-16,-6,-9,-1,-5,0
2270,-4,-6,-6,-6,-2,-8,-1,1,0
2275,1,-2,-6,6,-2,-3,0,-4,0
2280,5,0,3,3,2,3,6,-2,0
2285,4,-4,5,-2,4,-1,-1,3,0
2290,-5,-9,-5,0,0,-3,-5,-3,0
2295,-1,4,-3,-3,-9,9,-4,2,0
2300,-2,23,5,-19,2,13,5,3,0
2305,1,-8,6,5,1,6,0,-3,0
2310,2,-10,7,-4,4,-1,6,-5,0
2315,-2,-2,3,5,-6,-9,2,-3,0
2320,-6,-16,-5,15,-2,-3,9,0,0
2325,-3,12,-2,3,7,-4,1,-4,0
2330,2,7,-7,16,-8,-2,-3,-1,0
2335,-1,1,-6,1,7,-2,-3,-3,0
2340,-5,2,-2,-18,-2,-6,7,-5,0
2345,-5,-4,-5,-5,4,0,8,-5,0
2350,4,-3,8,1,1,-5,5,-12,0
2355,4,7,-2,-10,-4,-2,6,-3,0
2360,-1,6,-7,-5,-3,-4,1,3,0
2365,-3,-1,-3,-2,-3,-3,4,-1,0
2370,-4,-1,-4,1,-7,0,-15,8,0
2375,0,-4,-10,7,-3,1,2,-3,0
2380,1,-6,2,-2,-3,-8,-12,-3,0
2385,-4,-12,-8,0,1,0,-13,1,0
2390,1,13,2,3,-3,0,-1,0,0
2395,1,7,4,-4,-6,-1,-4,2,0
2400,-1,2,-4,0,2,7,-2,0,0
2405,-3,1,-2,-2,-2,-3,0,-3,0
2410,0,1,1,-7,2,-3,-5,-3,0
2415,0,-6,-7,-2,2,1,5,-7,0
2420,5,0,1,12,-3,-1,-3,1,0
2425,0,-5,1,-6,-3,3,-5,-1,0
2430,4,-6,0,-5,6,-3,0,3,0
2435,-5,0,-3,-2,-3,-2,-3,1,0
2440,-1,-4,-3,4,3,5,-2,1,0
2445,-3,-8,-1,3,-3,-5,-7,3,0
2450,3,-2,1,-7,-6,-2,-1,4,0
2455,2,6,4,2,-5,-5,-3,6,0
2460,-2,-8,0,2,-2,-3,9,-2,0
2465,-2,-2,-6,5,4,1,-5,-2,0
2470,-2,-2,-3,-2,6,-2,4,0,0
2475,3,-2,-2,-5,-2,5,2,-2,0
2480,4,0,4,4,-1,-1,-4,-3,0
