Timestamp, Rotation x, Rotation y, Rotation z
8670,19.5,-73.125,-11.5,
8690,14.875,-72.1875,-3.125,
8710,10.5,-68.75,6.125,
8730,7.25,-62.0625,16.1875,
8750,11.375,-56.75,28.125,
8770,10.5625,-51,33.9375,
8790,4.375,-43.8125,38.6875,
8810,-1.125,-38,46.0625,
8830,-10.375,-30.8125,50.8125,
8850,-13.0625,-26.875,56.125,
8870,-17.4375,-20.4375,58.375,
8890,-24,-11.9375,61.5,
8910,-29.4375,-1.375,64,
8930,-25.8125,10.1875,67.125,
8950,-12.9375,19.1875,70.875,
8970,2.5,28.1875,72.8125,
8990,9.5625,42.625,70.6875,
9010,4.25,55.375,63.5625,
9030,-4.8125,59.5625,57.0625,
9050,-1.8125,62.875,48.4375,
9060,8.875,65.625,41.75,
9090,21.3125,68.625,31.625,
9110,16.5,68.1875,17.625,
9130,4.9375,69.375,3.3125,
9150,12,67.875,-7.9375,
9170,25.8125,64.125,-16.25,
9190,29.5,59,-27.25,
9210,18.375,52.5625,-36.1875,
9220,16.6875,50.5,-45.625,
9240,32,45.125,-50.125,
9260,34.375,31.6875,-54.1875,
9280,24.125,18,-58.375,
9300,14.9375,8.375,-64.125,
9320,12.5,-6,-63.875,
9340,9.125,-20.625,-60.8125,
9360,1.8125,-31.75,-59.25,
9380,-1.5,-40.5,-57.5,
9400,1.8125,-50.375,-52.6875,
9420,4.25,-58.25,-47.8125,
9440,4.8125,-63.6875,-41.6875,
9460,4.75,-68.25,-33.75,
9480,6.3125,-70.6875,-26.1875,
9500,8.9375,-72.5,-18,
9520,8.5,-71.875,-8.3125,
9540,8.625,-70.4375,1.4375,
9560,7,-65.3125,10.3125,
9580,2.3125,-60.9375,22.0625,
9600,-0.25,-57.3125,32,
9620,-2.6875,-50.1875,39.3125,
9640,-6.9375,-45.375,46.75,
9660,-7.8125,-40.3125,51,
9680,-8.1875,-33.375,55.8125,
9700,-14.625,-22,60.75,
9720,-27.5,-3.5,63.375,
9740,-34.1875,14.3125,61.75,
9760,-36.5,20.25,64.375,
9780,-21.75,30.875,67.5,
9800,1.5625,42,68.5625,
9820,6.25,49.5625,69.0625,
9840,5.5,57.0625,58.125,
9860,8.5625,62.8125,48.5,
9880,11.75,66.3125,41.1875,
9900,4.375,69.9375,32.9375,
9920,-6.75,72.4375,22.8125,
9940,-1.5,74.625,13.1875,
9960,12.3125,76.5625,2.875,
9980,14.8125,76.625,-8.25,
10000,10.625,73.125,-18.125,
10020,-0.25,67.25,-28.5625,
10040,1.1875,56.8125,-37.4375,
10060,0,46.6875,-51.375,
10080,-1.875,39.3125,-64.5625,
10100,16.75,29.9375,-70.1875,
10120,36.9375,14,-72.375,
10140,35.4375,-1.375,-77.1875,
10160,14.9375,-8.5,-85.375,
10180,5.875,-19.9375,-85,
10200,16.1875,-32.3125,-81.1875,
10220,22.5625,-43.625,-77.6875,
10240,23,-51.875,-76.125,
10260,16.4375,-55.5,-71.8125,
10280,14.4375,-58.375,-63.25,
10300,17.8125,-60.125,-54.6875,
10320,24.1875,-61.75,-44.8125,
10340,28.125,-61.3125,-34.8125,
10360,32.1875,-59.25,-23.0625,
10380,32,-55.9375,-10.5,
10400,26.5,-53.125,0.625,
10420,19.25,-48.625,10.5,
10440,17.6875,-46.1875,22.3125,
10460,14.75,-42.25,31.625,
10480,9.1875,-36.875,42.0625,
10500,4.5625,-31.9375,49.625,
10520,1.9375,-26.75,56.3125,
10540,-3.5625,-22,63.0625,
10560,-9.25,-19.6875,67.8125,
10580,-19.75,-14.1875,69.9375,
10600,-24.25,-11.9375,72.125,
10620,-27.875,-5.9375,69.875,
10640,-26,-1.9375,75.8125,
10660,-24.6875,4.0625,77,
10680,-28.75,13.9375,74.4375,
10700,-33.4375,23.625,70.75,
10720,-28.1875,33.625,66.6875,
10740,-14.5,42.75,63.0625,
10760,1.5,51.0625,59.0625,
10780,3.375,65.0625,49.75,
10800,-6.8125,67.9375,33.625,
10820,-20,70.4375,21.1875,
10840,-15.0625,66.4375,12.125,
10860,-9.1875,61.9375,3.4375,
10880,-2.375,57.75,-9.6875,
10900,-5.375,53.125,-22.4375,
10920,-11.6875,45.9375,-31.9375,
10940,-6.0625,39.375,-39.4375,
10960,2.5625,33.0625,-46.125,
10980,12.4375,27.0625,-53.75,
11000,17.5625,18.5,-60,
11020,22.625,7.25,-65,
11040,19.9375,-1.1875,-71.4375,
11060,16.375,-9.6875,-74.9375,
11080,20.9375,-18.625,-74.6875,
11100,28.625,-29.875,-73.125,
11120,28.9375,-38.25,-71.4375,
11140,23.4375,-44.5625,-69.6875,
11160,18.125,-49.8125,-65.75,
11180,16.4375,-52.1875,-60.3125,
11200,21.125,-53.1875,-51.625,
11220,27.375,-54.875,-43.125,
11240,26,-54.875,-36,
11260,23,-53.625,-27.125,
11280,22,-49.875,-17.8125,
11300,22.8125,-46.875,-7.5625,
11320,18.875,-43.8125,2.9375,
11340,12.75,-39.75,11,
11360,8.3125,-33.4375,20.6875,
11380,5.375,-26.4375,26.3125,
11400,-2.1875,-20.75,35.125,
11420,-10.875,-14.8125,42.125,
11440,-17.5625,-13.75,47.1875,
11460,-23,-12.625,49.4375,
11480,-27.75,-11.9375,55.5,
11500,-34.125,-9.375,57.6875,
11520,-30.75,-6.0625,59.0625,
11540,-28.1875,3.5625,58.3125,
11560,-28.5,16.6875,60.75,
11580,-24.25,30.0625,64.4375,
11600,-18.375,43.625,59.25,
11620,-7.5625,54.625,50.375,
11640,5.25,65.375,45,
11660,20.3125,80.75,35.875,
11680,10.625,85.25,23.5,
11700,-21.25,86.5625,13.125,
11720,-35.125,79.5625,0.125,
11740,-25.4375,69.75,-6.8125,
11760,-9.8125,60.3125,-13.1875,
11780,0.375,54.4375,-19.25,
11800,10.6875,47.5,-26.8125,
11820,18.8125,38.9375,-39.375,
11840,16.75,26.8125,-47.5625,
11860,17.0625,10.375,-52,
11880,20.375,-4.1875,-57,
11900,20.375,-16.875,-56.8125,
11920,20.25,-29.0625,-54.8125,
11940,25.375,-39.5625,-51.3125,
11960,27.8125,-47.4375,-48.9375,
11980,24.5,-53.8125,-44.8125,
12000,23.75,-58.8125,-38.625,
12020,30.875,-64.0625,-30.9375,
12040,30.1875,-67.0625,-24.5625,
12060,27.75,-68.0625,-16.125,
12080,27.5625,-68.375,-8.375,
12100,27,-66.8125,0.4375,
12120,22.625,-63.3125,10.4375,
12140,17.5,-57.9375,19.375,
12160,15.0625,-51.75,28.6875,
12180,12.6875,-47.1875,39.25,
12200,7.375,-41.375,50,
12220,3.75,-36.9375,59.5625,
12240,-2.1875,-31.8125,65.6875,
12260,-12.5625,-23.1875,70.125,
12280,-19.6875,-13.6875,71.0625,
12300,-21.375,-5.5,72.125,
12320,-14,5.9375,71.5,
12340,2.1875,21.1875,70.125,
12360,3.4375,36.8125,68.25,
12380,4.375,49.75,67.125,
12400,8.6875,57.1875,63.8125,
12420,7.1875,61,58.1875,
12440,-0.875,67,50.6875,
12450,-6.8125,71.6875,39.3125,
