Timestamp, Rotation x, Rotation y, Rotation z, Marker
6200,-133.875,-47.75,-129.375,0
6220,-153.75,6.1875,-135.875,0
6240,-89.4375,36.375,-97.8125,0
6260,-5.1875,48.875,-61.6875,0
6280,69.0625,-40.6875,31.6875,0
6300,104.688,-102.188,105.812,0
6320,46,-145.812,108.125,0
6340,-71.6875,-271.75,180.75,0
6360,-121,-332.875,178.5,0
6380,-141.812,-359.875,102.25,0
6400,-132.5,-299.688,-27.3125,0
6420,-50.375,-181.312,-27.5625,0
6440,-13.4375,-75.25,100.875,0
6460,-12.1875,-120.188,330.5,0
6480,-140.688,-36.125,447.875,0
6500,-318.312,9.6875,739.062,0
6520,-250,-19.1875,753.688,0
6540,-62.5,-239.688,453.375,0
6560,226.562,-113.75,27.3125,0
6580,185.188,90,-226.125,0
6600,188.688,12.9375,-212.875,0
6620,-6.5,69.0625,-38.125,0
6640,-220.75,-145.562,290.312,0
6660,-286.438,-133.625,323.688,0
6680,-167,-27.5,122.938,0
6700,-49.375,16.9375,-28.5,0
6720,-84.625,-96.75,-2.1875,0
6740,-274.25,-116.812,-15.9375,0
6760,-403.875,-80.25,-27.6875,0
6780,-315.688,-76.4375,-57.125,0
6800,-195.438,-55.0625,-81.0625,0
6820,-80.1875,-38.3125,-96.125,0
6840,-27.25,13.0625,-90.5625,0
6860,24.5,-26.9375,-15.375,0
6880,56.5,-58.8125,41.8125,0
6900,47.0625,-79.875,101.312,0
6920,-202.625,-49.875,-19.25,0
6940,-260,-128.188,-133.438,0
6960,-305.875,-331.938,22.75,0
6980,-424.312,-417.562,299,0
7000,-380.812,-262.25,343.5,0
7020,-415.312,-342.812,290.312,0
7040,-581.625,-47.75,116.375,0
7060,-466.812,-53.8125,161.688,0
7080,-364.688,-59.3125,130.375,0
7100,-328.5,-153.312,87.5,0
7120,-475.938,-110.125,175.938,0
7140,-411.188,-13.125,210.25,0
7160,-363.75,75.1875,206.875,0
7180,-213.375,173.938,175.438,0
7200,81.875,199.812,134.188,0
7220,201.688,118.375,138.375,0
7240,288.812,-23.0625,129.5,0
7260,350.062,-38.9375,121.5,0
7280,416.875,39,130.5,0
7300,410.5,86,112.75,0
7320,346.75,97.4375,98.9375,0
7340,366.688,-14.375,210.25,0
7360,465.562,-19.4375,252.438,0
7380,242.562,57.125,164.688,0
7400,-62.25,72.4375,184,0
7420,-158.688,20.25,61.5625,0
7440,-138.562,8.625,-29.6875,0
7460,-116.562,12.6875,-64.1875,0
7480,-171.938,63.25,-73.8125,0
7500,-86.25,97.3125,-52.375,0
7520,41.9375,103.062,-8.625,0
7540,86.9375,75.125,47.8125,0
7560,108,35.875,78,0
7580,101.625,36.25,76.5,0
7600,79,11.875,104.5,0
7620,25.9375,149.875,135.5,0
7640,-33.25,234.625,131.25,0
7660,-32.3125,212.188,127.625,0
7680,13.5625,203.562,27,0
7700,28.625,129.562,2.375,0
7720,31.75,111.562,-56.8125,0
7740,68.125,129.188,-156.062,0
7760,24.125,-16.25,-84.375,0
7780,95.75,29.4375,-34.25,0
7800,121.75,-5.8125,-12.0625,0
7820,118.812,39.875,-66,0
7840,139.438,85.5625,-67.3125,0
7860,161.625,170.562,-81.125,0
7880,181.562,205.875,-103.875,0
7900,220.5,213.438,-163,0
7920,255.125,172.125,-194.75,0
