Timestamp, Angle x, Angle y, Angle z
10160,-0.689942,0.15595,0.109492,
10180,-0.685454,0.133276,0.0915769,
10200,-0.677124,0.109415,0.0770958,
10220,-0.665682,0.0843767,0.0657262,
10240,-0.653139,0.056931,0.0561567,
10260,-0.642936,0.0289087,0.0481554,
10280,-0.63384,0.00214879,0.0425935,
10300,-0.624355,-0.0230456,0.0395091,
10320,-0.613161,-0.0469004,0.0391831,
10340,-0.600682,-0.0689447,0.0411782,
10360,-0.587364,-0.0883087,0.045997,
10380,-0.57478,-0.104625,0.0533803,
10400,-0.56441,-0.117755,0.0634591,
10420,-0.558199,-0.128044,0.0755452,
10440,-0.552946,-0.135378,0.0906048,
10460,-0.549626,-0.140586,0.107847,
10480,-0.549003,-0.143106,0.127339,
10500,-0.550362,-0.142882,0.148146,
10520,-0.55322,-0.139577,0.170007,
10540,-0.55873,-0.132828,0.193176,
10560,-0.565797,-0.125085,0.21711,
10580,-0.577108,-0.116292,0.240761,
10600,-0.589716,-0.105638,0.264351,
10620,-0.605297,-0.0932703,0.286127,
10640,-0.620714,-0.0785861,0.308652,
10660,-0.634625,-0.0626598,0.329934,
10680,-0.648862,-0.04433,0.348023,
10700,-0.665294,-0.0235281,0.362725,
10720,-0.680713,-0.000825927,0.373602,
10740,-0.691636,0.022179,0.381149,
10760,-0.696078,0.046923,0.385354,
10780,-0.698633,0.075204,0.38394,
10800,-0.705315,0.101153,0.377214,
10820,-0.718574,0.123485,0.366078,
10840,-0.730749,0.142785,0.353119,
10860,-0.739694,0.158505,0.338748,
10880,-0.74589,0.168132,0.321998,
10900,-0.752869,0.173964,0.303,
10920,-0.761775,0.176073,0.283431,
10940,-0.768139,0.17373,0.263499,
10960,-0.770113,0.168778,0.243726,
10980,-0.767793,0.161565,0.22354,
11000,-0.763379,0.152146,0.203997,
11020,-0.755432,0.139333,0.185924,
11040,-0.746929,0.123033,0.16831,
11060,-0.739489,0.104152,0.151653,
11080,-0.730116,0.083734,0.137026,
11100,-0.717227,0.0621747,0.124986,
11120,-0.703408,0.0391163,0.11501,
11140,-0.690908,0.0148209,0.10643,
11160,-0.680378,-0.0101816,0.0997242,
11180,-0.671164,-0.0346751,0.0946112,
11200,-0.660925,-0.0575233,0.0917914,
11220,-0.648679,-0.0784986,0.0913676,
11240,-0.637195,-0.0982172,0.0925197,
11260,-0.627264,-0.116285,0.0957259,
11280,-0.618291,-0.131477,0.100601,
11300,-0.609819,-0.144034,0.107751,
11320,-0.603124,-0.153784,0.117279,
11340,-0.599406,-0.160856,0.128245,
11360,-0.597082,-0.164753,0.14077,
11380,-0.596392,-0.166192,0.153589,
11400,-0.59983,-0.164733,0.168002,
11420,-0.607135,-0.159841,0.183429,
11440,-0.61709,-0.152794,0.200123,
11460,-0.630082,-0.145187,0.21721,
11480,-0.645222,-0.137013,0.235882,
11500,-0.662582,-0.127525,0.254454,
11520,-0.679639,-0.116444,0.272534,
11540,-0.695302,-0.103717,0.287979,
11560,-0.71172,-0.0879043,0.300949,
11580,-0.726188,-0.0675647,0.311468,
11600,-0.736838,-0.0441765,0.31684,
11620,-0.744452,-0.0203331,0.317143,
11640,-0.747889,0.00377239,0.313231,
11660,-0.744594,0.0298434,0.30328,
11680,-0.744909,0.0557796,0.288979,
11700,-0.756098,0.0796731,0.271545,
11720,-0.773546,0.0980004,0.251894,
11740,-0.787538,0.112046,0.232673,
11760,-0.794568,0.121012,0.214182,
11780,-0.796785,0.126466,0.195704,
11800,-0.793384,0.129853,0.177407,
11820,-0.786473,0.128202,0.158309,
11840,-0.780462,0.123996,0.140137,
11860,-0.773083,0.115995,0.124928,
11880,-0.763136,0.103081,0.112041,
11900,-0.752332,0.0868343,0.102002,
11920,-0.74152,0.0687582,0.0952024,
11940,-0.728719,0.0499313,0.0914357,
11960,-0.71485,0.0301134,0.0896646,
11980,-0.702009,0.00948259,0.0901602,
12000,-0.690284,-0.0110836,0.0930058,
12020,-0.676454,-0.0314655,0.0987129,
12040,-0.663165,-0.0516519,0.106407,
12060,-0.65174,-0.0706868,0.116237,
12080,-0.641015,-0.0882731,0.128227,
12100,-0.630887,-0.103769,0.142063,
12120,-0.622738,-0.11727,0.157812,
12140,-0.617264,-0.128297,0.175064,
12160,-0.614005,-0.135862,0.193799,
12180,-0.612708,-0.140575,0.214757,
12200,-0.614782,-0.141571,0.237725,
12220,-0.618301,-0.139062,0.262591,
12240,-0.624104,-0.133899,0.288187,
12260,-0.633716,-0.125637,0.31324,
12280,-0.646185,-0.114649,0.336429,
12300,-0.660279,-0.101173,0.358165,
12320,-0.672141,-0.0852412,0.377054,
12340,-0.677174,-0.0670153,0.391991,
12360,-0.68233,-0.0450466,0.402829,
12380,-0.687784,-0.0182891,0.410228,
12400,-0.691002,0.00959948,0.41475,
12420,-0.693997,0.0361996,0.416566,
12440,-0.69951,0.0636851,0.414834,
12450,-0.707085,0.0905506,0.408778,
12470,-0.714056,0.114977,0.397857,
12490,-0.721968,0.135927,0.382,
12510,-0.729144,0.152941,0.363286,
12530,-0.732313,0.166251,0.339322,
12550,-0.73333,0.176383,0.311583,
12570,-0.73392,0.183543,0.284335,
12590,-0.728762,0.189388,0.256545,
12610,-0.72077,0.192608,0.228169,
12630,-0.713859,0.193261,0.199612,
12650,-0.705241,0.191238,0.17506,
12670,-0.699233,0.184013,0.154765,
12690,-0.69393,0.173656,0.135614,
