Timestamp, Rotation x, Rotation y, Rotation z
9770,-5.4375,0.0625,0.1875
9790,-4,0.75,-0.1875
9810,-1.75,1.3125,0.1875
9830,-2.8125,0.5,-0.5
9850,0.5,1.375,-0.125
9870,-0.875,-0.4375,-0.125
9890,0.9375,-0.6875,0.25
9910,0.625,0.75,0.5625
9930,-3.4375,0.375,1.125
9950,-3.0625,0.0625,2.0625
9970,-3.9375,0.375,1.1875
9990,-3.25,-0.5,0.875
10010,-3.5,1.1875,0.125
10030,-3.875,0.9375,-0.6875
10050,-1.625,1.625,-0.375
10070,0.4375,0.6875,1.125
10090,-2.3125,-0.4375,0.875
10110,0,-1,1.8125
10130,-0.5625,-0.1875,1.0625
10150,-1.375,0.5625,-0.125
10170,-0.9375,0.9375,0.0625
10190,-3.6875,0.625,-0.5
10210,-3.1875,0.1875,-0.3125
10230,-2.8125,1.5,-1.125
10250,-2.1875,0.8125,-0.9375
10270,-1.9375,1.3125,0.375
10290,-2.125,0.875,-0.1875
10310,-1.0625,1.5,-1.25
10330,-2.25,1.4375,-1.1875
10350,-1.625,1.4375,-1.8125
10370,-1.5,0.625,-1.6875
10390,-0.1875,0.4375,-0.4375
10410,0,-1.5,0.75
10430,1.625,-1.3125,0.6875
10450,2.9375,-0.125,1
10470,0.9375,-0.75,0.25
10490,3.0625,0.3125,0.3125
10510,-0.625,0.5,-0.125
10530,-0.0625,0,-0.5
10550,-1,0.875,0.5
10570,-2.125,0.25,-0.3125
10590,0.4375,0.5625,-0.4375
10610,0.6875,0.0625,-0.5625
10630,0.5,0.1875,-0.125
10650,-0.5,0.125,-0.625
10670,1.3125,-0.0625,-0.25
10690,0.5625,-0.125,-1.0625
10710,2.0625,0.5625,-1.0625
10730,-0.4375,0.25,-1.0625
10750,0.5625,-0.1875,0.75
10770,-0.3125,-0.625,0.25
10790,0.375,-0.375,0.5625
10810,-0.0625,-0.25,-0.375
10830,0.125,0.75,-0.6875
10850,-0.125,1.75,-1.75
10870,0.8125,1.125,-1
10890,-0.75,-0.5,0.625
10910,-1.75,-1.6875,1.4375
10930,-1.0625,-0.25,0.9375
10950,-0.1875,0.5,-0.375
10970,1.3125,0.4375,-0.875
10990,0.75,0.6875,-0.9375
11010,-0.625,-0.375,-0.625
11030,0,0.5,-0.125
11050,-1.0625,-0.3125,0.5
11070,0.1875,0.1875,-0.3125
11090,-0.125,0.5,-1.125
11110,0.4375,1.5,-1.625
11130,-1.5,2.375,-2.375
11150,-1.1875,1.9375,-3.25
11170,-0.125,1.5,-3.3125
11190,-0.9375,1.875,-1.75
11210,-0.25,0.8125,-1.5
11230,1.5,1,-1.5
11250,2.0625,0.8125,-0.6875
11270,0.625,0.4375,-0.625
11290,2.75,1.25,0
11310,-0.5625,0.0625,0.1875
11330,-2.375,0.4375,0.3125
11350,-5.875,1.0625,-1.25
11370,-7.1875,3.3125,-2.4375
11390,-9.5625,3.6875,-3.5
11410,-12.625,3.625,-3.6875
11430,-21.9375,5.875,-2.9375
11450,-37.0625,12.4375,-2.875
11470,-64.5625,25.6875,-7
11490,-92.4375,48.4375,-13.125
11510,-94.4375,70.9375,-23.75
11520,-88.5,76.1875,-27.6875
11540,-78.75,71.0625,-33.5
11560,-92,71.8125,-16.375
11580,-113.438,76.3125,-12.125
11600,-123.5,85.4375,-15.25
11620,-123.625,100.063,-25.3125
11640,-125.313,111.875,-30.5625
11660,-133.688,113.125,-26.375
11680,-137.563,110,-26.0625
11700,-132.188,87.375,-29.8125
11720,-126.563,57.375,-37.5625
11740,-126.313,33.5625,-21.6875
11760,-111.625,34.5,-4.875
11780,-92.0625,33.375,12.1875
11800,-75.5625,30.25,19.8125
11820,-43.5,16.25,19.9375
11840,9.4375,1.125,17.8125
11860,31.125,-1.9375,15
11880,49.25,-1.6875,16.9375
11900,69.5625,-7.5,12.9375
11920,81.1875,-14.9375,5.9375
11940,102,-19,6.125
11960,116.688,-17.5,15.0625
11980,104.188,-11.125,25.1875
12000,86.1875,10.6875,44.1875
12020,74.875,11.4375,37.8125
12040,76.0625,1.125,34.8125
12060,77.25,-2,29.5
12080,80.625,-7.625,13.75
12100,114.75,-15.5,13.6875
12120,156,-5.75,19.0625
12140,215.25,-13.25,30.0625
12160,235.438,-12.5,-4.125
12180,243.438,-16.125,-27.5625
12200,241,-13.375,-21.1875
12220,227.813,0.9375,-15.5
12240,197.063,-1.0625,-27.3125
12260,156.125,-4.875,-29.125
12280,109.813,-7.125,-17.75
12300,66.9375,-6.5625,-4.3125
12320,20.4375,-16.125,1.3125
12340,-34.4375,-23.3125,5.8125
12360,-70.875,-21.625,13.0625
12380,-80.9375,-18.75,11.9375
12400,-70.5,-15.1875,1.75
12420,-52.5625,-8.8125,-5.1875
12440,-25.875,-2,-2.9375
12460,11,2.5625,1.375
12480,43.6875,1.5,2.375
12500,55.375,-6.375,1.1875
12520,52.8125,-9.75,4.4375
12540,45.6875,-12.8125,4.125
12560,26.25,-12.375,-1.5
12580,1.3125,-8.125,-8.875
12600,-12.6875,-2.1875,-10.1875
12620,-23.0625,1.375,-6.5
12640,-29.8125,2.625,-2.375
12660,-26.375,-2,1.0625
12680,-15.125,-4.3125,3.25
12700,-0.5625,-5.25,5.125
12720,8.1875,-4,4.3125
12740,13.9375,-3,2.3125
12760,21.5625,-3.8125,-0.125
12780,28.0625,-1.5,2.1875
12800,22.3125,-3.875,3.875
12820,4.875,-7.125,3.75
12840,-0.625,-10.375,-1.875
12860,-2.8125,-7.9375,-4.375
12880,-15.5,-4.1875,-5.3125
12900,-21.625,-0.5,-3.0625
12920,-16.1875,-2.9375,-2.5625
12940,-8.1875,-3.5625,-3.5
12960,-1.1875,-5.0625,-1.625
12980,0.0625,-4.9375,1.1875
13000,10.1875,-3,0.75
13020,22.875,-3.25,-1.5
13040,18.75,-1.5625,-1.5625
13060,14.375,-0.3125,0.375
13080,9.25,-1.875,2.125
13100,-2.3125,-3.375,2.3125
13120,-13.5625,-3.75,4.6875
13140,-13.9375,-2.8125,6.1875
13160,-9.875,-1.75,5.1875
13180,-10.875,-3,4.3125
13200,-5.375,-4.375,3
13220,3.5625,-5.5625,2.1875
13240,7.125,-5.3125,-0.3125
13260,15.8125,-2.75,-2.625
13280,18.125,-0.1875,-3.75
13300,12.5625,0.4375,-3.5
13320,6,-1.4375,-1.1875
13340,0.25,-2.125,-0.5
13360,0.375,-3.5625,-2.75
13380,-2.25,-2.875,-4.3125
13400,-3.0625,-1.3125,-6.75
13420,4,-3.1875,-14.3125
13440,9.25,-4.8125,-27.4375
13460,8.6875,-4,-38.9375
13480,-2.0625,-1.8125,-43.625
13500,-28.4375,-1,-48.0625
13520,-83.5625,0.8125,-54.875
13540,-152.438,-9.3125,-46.1875
13560,-148,-30.125,-36
13580,-80.4375,-47.0625,-48.375
13600,-83.9375,-54.0625,-85.25
13620,-185.438,-45,-133.563
13640,-174.75,-17.875,-159.188
13660,-28.1875,-31.5625,-134.688
13680,16.9375,-41.9375,-82.125
13700,21.3125,-63.875,-51.1875
13720,82.875,-93.1875,-58.0625
13740,132.438,-114.063,-78.375
13760,93.625,-122.125,-85.75
13780,77.0625,-107.75,-62.8125
13800,120.875,-103.625,-60.375
13820,121.625,-105.313,-81.5625
13840,98.4375,-107.813,-96.375
13860,55.125,-115.688,-91.5625
13880,27.1875,-102.063,-77
13900,27.9375,-81.5625,-74.4375
13920,57,-88.625,-54.0625
13940,59.4375,-98.5,-33.6875
13960,16.4375,-108.938,-37.1875
13980,4.125,-100.813,-61.5625
14000,59.625,-67,-63.8125
14020,84.875,-35.75,-53.125
