Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
2265,-1,-4,-5,-2,-3,4,0,6,0
2270,3,1,6,3,0,1,1,5,0
2275,-6,-6,-2,-6,5,-5,-11,-4,0
2280,1,-8,4,-3,-10,-3,2,-4,0
2285,-5,10,-2,0,0,-6,-4,-4,0
2290,-4,-1,-8,-4,1,-3,1,-2,0
2295,-7,-7,-4,-7,-9,-3,-3,-7,0
2300,-1,-3,0,4,-5,3,2,-4,0
2305,0,4,-2,6,4,6,0,4,0
2310,-4,-1,3,5,-2,2,2,3,0
2315,-3,-3,-3,5,9,5,3,0,0
2320,-4,-8,-5,-4,-2,0,-3,0,0
2325,0,-3,-4,-6,-1,-8,-4,1,0
2330,-6,-3,-4,-1,1,-4,2,-2,0
2335,-1,9,-9,-4,-3,-2,-4,-2,0
2340,3,-2,-3,4,6,-6,0,-5,0
2345,-1,-1,-1,-5,2,1,3,-2,0
2350,-4,-5,2,-1,-1,-3,0,3,0
2355,1,-5,5,-2,-5,-1,-6,-4,0
2360,4,-4,3,-3,-7,-3,-7,-2,0
2365,3,4,1,-9,-15,-8,0,-3,0
2370,-1,-1,-5,-3,-1,5,2,-3,0
2375,-1,-2,-2,1,-1,-1,3,0,0
2380,-6,2,-8,-2,-1,0,-3,-2,0
2385,-1,0,1,2,0,3,4,2,0
2390,2,0,0,3,0,-3,-4,-4,0
2395,2,-4,-4,-5,-4,-6,-5,-2,0
2400,0,-1,-3,-3,-1,0,-8,-1,0
2405,-3,-4,-4,-5,-4,1,-1,-2,0
2410,1,-1,-3,1,3,2,-4,1,0
2415,-6,0,-3,4,3,-1,1,-2,0
2420,-1,0,3,0,1,-2,6,-2,0
2425,1,-4,-2,-1,-5,3,-2,-1,0
2430,3,0,4,1,-11,2,-1,-2,0
2435,3,-3,3,0,5,0,3,-3,0
2440,-2,-2,-3,-6,-3,1,-3,1,0
2445,-4,-3,2,2,0,-1,-2,0,0
2450,2,-3,-4,-6,7,-2,-4,-3,0
2455,-1,-1,-3,-1,5,-1,5,-4,0
2460,0,1,1,-4,-1,-6,-5,2,0
2465,0,-1,2,-2,1,-7,3,-2,0
2470,-3,3,0,2,1,3,4,-1,0
2475,-5,0,1,0,-4,-1,-3,1,0
2480,-4,3,-2,1,-5,-8,0,-5,0
2485,-1,-2,-8,0,2,-2,0,-3,0
2490,3,2,-4,-1,-3,-4,-3,0,0
2495,-6,-11,-2,-8,4,-8,-6,-4,0
2500,-1,-4,3,-4,-2,2,-1,-2,0
2505,-1,-9,-2,6,6,0,2,0,0
2510,8,6,-6,-4,-5,-6,-4,-4,0
2515,2,3,-4,-12,-7,1,-6,-4,0
2520,0,-4,1,2,-7,-7,-3,-1,0
2525,-4,1,3,2,-2,-1,6,-3,0
2530,-9,-5,0,-4,2,-3,-3,-1,0
2535,-1,-10,-4,1,-7,-1,-3,0,0
2540,0,4,-7,-3,3,0,0,-1,0
