Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
5290,1.14258,0.438965,-0.228027,0
5310,1.62549,0.428223,-0.133789,0
5330,1.13965,-0.0786133,-0.178711,0
5350,0.803223,0.336426,0.373047,0
5370,0.153809,0.391113,0.589844,0
5390,0.0683594,-0.192383,1.01025,0
5410,0.310547,-0.267578,1.00879,0
5430,0.354492,-0.209473,0.847168,0
5450,0.206055,-0.157715,0.793945,0
5470,0.22168,-0.0610352,0.602539,0
5490,0.461914,-0.0874023,0.749512,0
5510,1.0708,-0.181152,0.873535,0
5530,0.55957,-0.012207,0.603027,0
5550,0.51709,-0.0615234,0.734863,0
5570,0.618652,-0.019043,0.606934,0
5590,0.589355,-0.121094,0.616699,0
5610,0.628418,-0.171387,0.70166,0
5630,0.625,-0.125,0.652344,0
5650,0.571777,-0.0664062,0.630371,0
5670,0.587891,-0.0595703,0.66748,0
5690,0.632324,0.00537109,0.652832,0
5710,0.612305,0.00390625,0.663574,0
5730,0.658691,-0.000976562,0.680176,0
5750,0.67041,-0.00634766,0.693848,0
5770,0.657715,-0.0498047,0.729492,0
5790,0.643555,-0.065918,0.741699,0
5810,0.583008,-0.0795898,0.772461,0
5830,0.533203,0.0136719,0.89209,0
5850,0.397461,0.0776367,1.24854,0
5870,0.238281,-0.00390625,1.67334,0
5890,0.205566,-0.310547,1.58789,0
5910,0.464844,-0.236816,0.905762,0
5930,1.41699,-1.1123,0.182129,0
5950,0.366211,1.23486,-0.280762,0
5970,0.293945,-0.275391,0.679199,0
5990,-0.267578,1.23828,-0.896973,0
6010,-0.342285,0.977051,-0.573242,0
6030,-0.73291,1.01025,0.0756836,0
6050,-0.788574,0.634766,-0.118652,0
6070,-1.24707,0.60791,0.119141,0
6090,-0.850586,0.836914,0.5,0
6110,-0.686035,0.918945,0.627441,0
6130,-0.844238,0.725098,0.290527,0
6150,-0.671387,0.727539,0.0639648,0
6170,-0.625488,0.797852,0.287109,0
6190,-0.595703,0.630371,0.344727,0
6210,-0.581543,0.526367,0.211914,0
6230,-0.265137,0.388672,0.257324,0
6250,-0.179688,0.353027,0.442871,0
6270,-0.317383,0.237793,0.699219,0
6290,-0.272461,0.241211,1.00146,0
6310,-0.20166,-0.20459,0.972656,0
6330,0.0195312,-0.263672,0.946777,0
6350,0.361328,-0.139648,1.00049,0
6370,0.203125,-0.0126953,1.03857,0
6390,0.136719,0.0991211,0.807129,0
6400,-0.240723,0.0771484,0.304688,0
6420,0.0693359,-0.101562,0.547363,0
6440,-0.114746,0.191895,0.577148,0
6460,0.0766602,-0.831543,1.17236,0
6480,-0.034668,-1.4585,4.20508,0
6500,-0.239746,-0.887695,1.16309,0
6520,0.0371094,-0.123047,1.4707,0
6540,0.629883,-0.336914,0.805176,0
6560,0.399414,-0.0253906,0.946289,0
6580,0.21875,0.254395,0.501465,0
6600,0.375488,0.125488,0.61377,0
6620,-0.09375,0.132324,0.449219,0
6640,0.196777,0.370605,0.730957,0
6660,-0.00146484,0.0078125,1.13135,0
6680,0.0825195,0.152344,1.27734,0
6700,-0.223145,0.0727539,1.14258,0
6720,-0.176758,0.11084,0.770996,0
6740,-0.0874023,0.00195312,0.544922,0
6760,0.0429688,-0.0366211,0.596191,0
6780,0.120117,-0.0898438,0.851562,0
6800,0.0810547,-0.147949,1.19385,0
6820,0.00634766,-0.30957,0.905273,0
6840,-0.0966797,-0.319336,0.858887,0
6860,-0.108398,-0.28125,0.661133,0
6880,-0.0947266,-0.384277,0.447266,0
6900,-0.0517578,-0.366699,0.718262,0
6920,0.0180664,-0.441895,0.960449,0
6940,-0.0229492,-0.85498,0.481445,0
6960,-0.0170898,-0.693848,0.746582,0
6980,0.0810547,-0.512695,0.30957,0
7000,0.0175781,-0.422363,0.828125,0
7020,-0.0224609,-0.57959,0.310059,0
7040,-0.0834961,-0.967285,0.44873,0
7060,-0.0380859,-1.00586,0.194336,0
7080,-0.0639648,-0.871582,-0.0375977,0
7100,-0.156738,-1.05762,-0.119141,0
7120,-0.0673828,-0.635742,-0.0185547,0
