Timestamp, Angle x, Angle y, Angle z
9940,1.65547,0.12717,0.550151,
9960,1.6393,0.107554,0.611279,
9980,1.62314,0.0928427,0.671268,
10000,1.61575,0.0744845,0.728932,
10020,1.61726,0.0586708,0.777387,
10040,1.6201,0.0495704,0.81202,
10060,1.61368,0.03872,0.828951,
10080,1.62722,0.018908,0.840774,
10100,1.64067,0.00245139,0.854959,
10120,1.67745,-0.00452338,0.870798,
10140,1.72686,-0.0161595,0.877923,
10160,1.77501,-0.0344796,0.878579,
10180,1.81977,-0.0582465,0.875564,
10200,1.86818,-0.0867789,0.870364,
10220,1.91793,-0.128818,0.856203,
10240,1.94488,-0.167066,0.854532,
10260,1.96027,-0.180934,0.865239,
10280,1.94092,-0.205718,0.927546,
10300,1.90175,-0.241284,0.980456,
10320,1.88499,-0.263683,1.0269,
10340,1.87897,-0.288665,1.05014,
10360,1.89648,-0.310945,1.05891,
10380,1.92959,-0.324186,1.06465,
10400,1.97874,-0.308217,1.05864,
10420,2.02505,-0.269676,1.05517,
10440,2.06126,-0.246385,1.05333,
10460,2.0921,-0.243259,1.04464,
10480,2.10487,-0.243677,1.03778,
10500,2.11702,-0.227591,1.0521,
10520,2.12323,-0.216546,1.06764,
10540,2.12527,-0.220446,1.07117,
10560,2.12488,-0.239108,1.07153,
10580,2.11834,-0.25738,1.07091,
10600,2.10889,-0.274037,1.07142,
10620,2.0871,-0.29464,1.07723,
10640,2.06947,-0.316664,1.07678,
10660,2.05782,-0.330477,1.08038,
10680,2.05027,-0.336963,1.0816,
10700,2.03869,-0.338694,1.08607,
10720,2.01105,-0.332467,1.08495,
10740,1.92957,-0.338525,1.06038,
10760,1.89419,-0.350803,1.07886,
10780,1.88,-0.375974,1.10826,
10800,1.84365,-0.437466,1.14701,
10820,1.8057,-0.516948,1.17609,
10840,1.77144,-0.602739,1.24612,
10860,1.74581,-0.671807,1.31646,
10880,1.72572,-0.720802,1.36717,
10900,1.70478,-0.741818,1.39777,
10920,1.68121,-0.74742,1.42102,
10940,1.64903,-0.751008,1.45383,
10960,1.61196,-0.761762,1.48557,
10980,1.577,-0.755035,1.5165,
11000,1.56442,-0.732676,1.54258,
11020,1.5687,-0.692201,1.58392,
11040,1.5814,-0.659478,1.62906,
11060,1.5908,-0.638877,1.66036,
11080,1.60397,-0.628147,1.68211,
11100,1.6183,-0.620356,1.70265,
11120,1.63307,-0.606942,1.73627,
11140,1.65517,-0.581146,1.78521,
11160,1.6854,-0.554427,1.82227,
11180,1.70816,-0.532225,1.85507,
11200,1.73204,-0.517726,1.88434,
11220,1.74664,-0.507451,1.90308,
11240,1.75743,-0.495319,1.91345,
11260,1.77217,-0.482444,1.9175,
11280,1.783,-0.472456,1.92813,
11300,1.79527,-0.462699,1.94073,
11320,1.80154,-0.455374,1.94696,
11340,1.79867,-0.458914,1.94254,
11360,1.79635,-0.4637,1.93947,
11380,1.79301,-0.469434,1.93944,
11400,1.78939,-0.47478,1.93846,
11420,1.77978,-0.486815,1.9367,
11440,1.77134,-0.496028,1.93387,
11460,1.76457,-0.503053,1.92247,
11480,1.75519,-0.508683,1.91008,
11500,1.7512,-0.512355,1.89304,
11520,1.74163,-0.517515,1.87307,
11540,1.73721,-0.518405,1.85051,
11560,1.73565,-0.519958,1.82912,
11580,1.73531,-0.522192,1.81084,
11600,1.73275,-0.519204,1.78899,
11620,1.73504,-0.515853,1.76196,
11640,1.73441,-0.515509,1.73647,
11660,1.73161,-0.509946,1.71506,
11680,1.73545,-0.495973,1.69633,
11700,1.73832,-0.482098,1.67931,
11720,1.73932,-0.475087,1.66341,
11740,1.73908,-0.467781,1.65027,
11760,1.74153,-0.45493,1.63716,
11780,1.74577,-0.442809,1.62088,
11800,1.74843,-0.434181,1.60447,
11820,1.75203,-0.425811,1.58678,
11840,1.75796,-0.416384,1.56947,
11860,1.76309,-0.408232,1.55256,
11880,1.77162,-0.394541,1.5365,
11900,1.78494,-0.377093,1.52285,
11920,1.79964,-0.358239,1.51392,
11940,1.81305,-0.343226,1.50449,
11960,1.82275,-0.326955,1.49223,
11980,1.83884,-0.311714,1.48042,
12000,1.856,-0.299644,1.47142,
12020,1.86645,-0.288714,1.4634,
12040,1.8752,-0.27147,1.45727,
12060,1.88533,-0.245294,1.45231,
12080,1.89815,-0.221815,1.44769,
12100,1.91126,-0.205378,1.44351,
12120,1.92372,-0.190601,1.44087,
12140,1.93591,-0.165272,1.44023,
12160,1.94987,-0.138002,1.43927,
12180,1.9611,-0.117983,1.43677,
12200,1.96984,-0.105234,1.43326,
12220,1.98114,-0.0908065,1.43297,
12240,1.99791,-0.0677783,1.44015,
12260,2.01823,-0.0411494,1.45056,
12280,2.03642,-0.0234145,1.45696,
12300,2.0436,-0.0177916,1.45983,
12320,2.04584,-0.00487404,1.46098,
12340,2.05748,0.0199307,1.45853,
12360,2.07214,0.0362376,1.45395,
12380,2.09021,0.0407851,1.45035,
12400,2.10145,0.0406354,1.44832,
12420,2.11132,0.0416768,1.45109,
12440,2.12137,0.0475028,1.45458,
12460,2.13393,0.0570934,1.45182,
12480,2.14666,0.0650701,1.44419,
12500,2.1631,0.0687098,1.43666,
12520,2.17817,0.0693183,1.42893,
12540,2.1868,0.0694548,1.41763,
12560,2.19413,0.0705625,1.40255,
12580,2.20213,0.0698275,1.38538,
12600,2.21443,0.067575,1.36859,
12620,2.23042,0.0673727,1.35176,
12640,2.2458,0.071531,1.33155,
12660,2.2614,0.0752631,1.30759,
12680,2.27248,0.0770674,1.28219,
12700,2.27874,0.0761591,1.25829,
12720,2.28185,0.0761517,1.23844,
12740,2.28132,0.0805358,1.22281,
12760,2.28078,0.0870917,1.2118,
12780,2.27798,0.0916049,1.20104,
12800,2.27271,0.0929174,1.18714,
12820,2.26921,0.0941814,1.17044,
12840,2.26653,0.0996889,1.1515,
12860,2.27316,0.108083,1.13377,
12880,2.28494,0.11668,1.11949,
12900,2.29967,0.127267,1.11008,
12920,2.3185,0.142557,1.10827,
12940,2.34424,0.161876,1.11385,
12960,2.36858,0.177618,1.11809,
12980,2.38316,0.18256,1.11649,
13000,2.38908,0.17853,1.11263,
13020,2.38425,0.176643,1.10441,
13040,2.38528,0.185103,1.09527,
13060,2.4028,0.196437,1.08726,
13080,2.41833,0.198236,1.07503,
13100,2.41937,0.19327,1.05442,
13120,2.41538,0.197662,1.03689,
13140,2.42131,0.218891,1.02192,
13160,2.45401,0.234205,1.01367,
13180,2.49248,0.235229,1.01301,
13200,2.54927,0.22437,1.02527,
13220,2.62329,0.208711,1.05512,
13240,2.71616,0.182058,1.10299,
13260,2.81561,0.132298,1.16416,
13280,2.9317,0.0547425,1.22915,
13300,3.05823,-0.0448328,1.29265,
13320,-3.10751,-0.160296,1.34806,
13340,-3.0037,-0.295734,1.39967,
13360,-2.91209,-0.455343,1.44987,
13380,-2.82062,-0.639843,1.49261,
13400,-2.72658,-0.823691,1.51179,
13420,-2.62754,-0.981511,1.49515,
13440,-2.49916,-1.1055,1.42849,
13460,-2.33051,-1.19355,1.29456,
13480,-2.10902,-1.25014,1.08193,
13500,-1.87435,-1.28722,0.840378,
13520,-1.59555,-1.32189,0.566726,
13540,-1.2355,-1.3453,0.225309,
13560,-0.863631,-1.3374,-0.124481,
13580,-0.600851,-1.31018,-0.37123,
13600,-0.43819,-1.28189,-0.518538,
13620,-0.315732,-1.2524,-0.625585,
13640,-0.255424,-1.2232,-0.672098,
13660,-0.239959,-1.19272,-0.673367,
13680,-0.256567,-1.16458,-0.651579,
13700,-0.273956,-1.14088,-0.624148,
13720,-0.299403,-1.12184,-0.586906,
13740,-0.342834,-1.10384,-0.532303,
13760,-0.39626,-1.08853,-0.469286,
13780,-0.451646,-1.07483,-0.40593,
13800,-0.515251,-1.06189,-0.342572,
13820,-0.573927,-1.05045,-0.291466,
13840,-0.625438,-1.03842,-0.253854,
13860,-0.666252,-1.03108,-0.234274,
13880,-0.692722,-1.03259,-0.233253,
13900,-0.69809,-1.03923,-0.249326,
