Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
2275,-16,-5,-34,-47,-80,-25,-41,-27,
2280,-2,-26,-9,2,-1,-39,27,-12,
2285,2,28,52,127,93,16,24,-7,
2290,3,38,-14,-61,89,53,-31,16,
2295,-3,-16,-78,-72,-79,-25,5,14,
2300,-6,8,16,-34,-35,-4,-3,-21,
2305,4,-12,15,19,18,1,36,12,
2310,3,-10,81,101,126,-1,-7,35,
2315,6,10,-56,-13,38,55,-8,-14,
2320,-49,-61,-52,-117,-124,-35,-58,-32,
2325,8,-26,3,-39,-74,-61,-11,-18,
2330,10,21,31,16,29,26,79,-16,
2335,-1,14,-11,98,92,44,-38,22,
2340,7,24,20,-8,6,-17,-50,-23,
2345,-25,-44,-31,-72,-77,13,13,-14,
2350,9,-4,8,-11,-49,-5,1,29,
2355,5,-5,-13,64,38,-3,32,55,
2360,23,22,58,35,101,39,14,-15,
2365,-19,9,26,-34,-32,-31,-5,-20,
2370,-12,-19,-99,-91,-96,-18,-70,-77,
2375,1,-19,6,-15,-35,-1,33,80,
2380,-6,13,9,33,-7,-20,-12,-2,
2385,8,-6,-2,47,77,16,14,1,
2390,-5,-4,-8,37,44,33,19,-20,
2395,-7,-22,43,-4,6,4,-7,-18,
2400,21,24,4,-37,-28,-4,13,17,
2405,14,-10,-39,40,21,-5,-27,-1,
2410,-17,2,-10,17,-6,9,-8,2,
2415,-1,2,30,-25,-9,-20,-8,-26,
2420,-7,-40,-15,-19,-20,0,12,36,
2425,32,73,10,29,31,16,17,26,
2430,-18,-14,-11,5,-14,-4,-3,-1,
2435,-16,-30,16,-44,0,-11,-8,-31,
2440,8,18,-18,-1,-5,2,1,-21,
2445,20,-11,0,18,-6,-4,-2,-4,
2450,5,18,-20,50,30,9,-3,9,
2455,-19,-4,-17,-25,-1,-5,3,-6,
2460,-17,-31,-18,-7,8,3,-9,-10,
